City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Moramanga,MG,-18.9333,48.2,66.07,95,63,3.78,broken clouds
326,Mariental,NA,-24.6333,17.9667,83.89,34,100,4.32,overcast clouds
327,Tongliao,CN,43.6125,122.2653,0.84,87,5,7.0,clear sky
328,Benghazi,LY,32.1167,20.0667,61.38,65,100,3.89,overcast clouds
329,Asosa,ET,10.0667,34.5333,66.56,28,100,4.99,overcast clouds
330,Gallup,US,35.5281,-108.7426,43.56,31,0,11.01,clear sky
331,Oliveira,BR,-20.6964,-44.8272,67.73,96,100,6.13,overcast clouds
332,Padang,ID,-0.9492,100.3543,77.04,75,100,3.47,light rain
333,San Cristobal,VE,7.7669,-72.225,79.99,50,62,4.85,broken clouds
334,Valle De Allende,MX,26.9333,-105.4,61.05,16,0,3.58,clear sky
335,Saint-Augustin,CA,51.226,-58.6502,-1.89,71,6,14.27,clear sky
336,Jaspur,IN,29.2833,78.8167,51.44,75,64,2.44,broken clouds
337,Ponta Do Sol,PT,32.6667,-17.1,63.23,53,6,10.54,clear sky
338,Deputatskiy,RU,69.3,139.9,-34.47,98,88,5.23,overcast clouds
339,Galle,LK,6.0367,80.217,77.41,80,97,0.96,overcast clouds
340,Peleduy,RU,59.6289,112.7406,9.73,95,100,5.03,overcast clouds
341,Conde,BR,-7.2597,-34.9075,83.01,56,6,12.12,clear sky
342,Catuday,PH,16.2923,119.8062,75.4,74,94,11.21,overcast clouds
