City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Mahuva,IN,68.83,clear sky,21.0914,71.7622,Hotel Blue Diamond.
617,Aransas Pass,US,63.21,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
622,Ballina,AU,67.96,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
623,Phon Thong,TH,76.96,broken clouds,16.3016,103.9768,ตอตอมอมอ
625,Phan Thiet,VN,73.53,overcast clouds,10.9333,108.1,Hotel Saigon-PT
627,Bulalacao,PH,77.65,overcast clouds,12.3254,121.3435,By The Sea Hotels
630,Los Banos,PH,76.82,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
636,Labuhan,ID,77.36,overcast clouds,-6.8844,112.2051,DoubleFAG
637,Aojiang,CN,59.02,overcast clouds,22.9421,116.0359,Binjiang Hotel
644,Martil,MA,60.87,broken clouds,35.6166,-5.2752,فندق مرتيل
645,Wanning,CN,70.02,overcast clouds,18.8003,110.3967,Paradise Hotel
646,Broken Hill,AU,70.09,clear sky,-31.95,141.4333,Royal Exchange Hotel
649,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
652,Teseney,ER,70.88,clear sky,15.11,36.6575,Sabrin Hotel
654,Bagotville,AU,63.64,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
660,Cairns,AU,75.15,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
661,Chicama,PE,70.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
665,Ajdabiya,LY,58.37,overcast clouds,30.7554,20.2263,Almadina Hotel
668,Menongue,AO,59.92,overcast clouds,-14.6585,17.691,Ritz Lauca
670,Srivardhan,IN,70.02,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
671,Jizan,SA,75.87,clear sky,17.3333,42.6667,شهدان. ابوالحجر
672,Surt,LY,61.14,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
673,Bataipora,BR,76.89,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
675,Lipari,IT,57.78,broken clouds,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
676,Ambilobe,MG,75.56,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
679,Ilo,PE,72.64,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
681,Teguise,ES,62.82,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
682,Lima,PE,78.91,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
685,Japura,ID,72.54,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
687,Ambunti,PG,73.94,light rain,-4.2365,142.8448,AMBUNTI HIDE INN
688,Xalpatlahuac,MX,77.86,few clouds,17.4667,-98.6167,Hotel Villarreal
692,Rocha,UY,71.35,clear sky,-34.4833,-54.3333,Hotel Arrarte
697,Colares,PT,60.3,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
699,Tairua,NZ,65.08,light rain,-37.0167,175.85,Pacific Harbour Villas
701,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
